iter	RMSE
0	18.05611678
1	18.4140264
2	18.18640798
3	17.93834985
4	17.74011211
5	16.75410681
6	16.59129697
77	16.615114058	16.23484768
9	16.10597459
10	15.9341348
11	15.77872542
12	15.62722352
13	15.45952166
14	15.30760274
15	15.16967647
116	15.06605617	15.43851135
18	15.28836443
19	15.1431783
20	15.02456395
21	14.8890058
22	14.75693751
23	14.63033967
24	14.51202673
25	14.39376685
26	14.30116028
27	14.20935198
28	14.09024516
29	13.99754674
30	13.89854738
31	13.8029166
32	13.71038113
33	13.60864514
34	13.53103263
35	13.42952042
36	13.34556793
37	13.26259947
38	13.17814757
39	13.10069557
40	13.04147309
41	12.97309268
42	12.91376548
43	12.84292531
44	12.77952722
45	12.70181977
46	12.64714571
47	12.58805365
48	12.52312182
49	12.46068075
50	12.40781052
51	12.34368476
52	12.3015451
53	12.26602022
54	12.21312712
55	12.165858
56	12.12963516
57	12.11141768
58	12.06530569
59	12.04166536
60	11.9899187
61	11.95367708
62	11.91357726
63	11.87485134
64	11.83155631
65	11.78854124
66	11.75067266
67	11.71734137
68	11.67743494
69	11.64261778
70	11.59425784
71	11.55894905
72	11.53375662
73	11.49931916
74	11.46908849
75	11.43263382
76	11.40298365
77	11.37433487
78	11.35206668
79	11.32556543
80	11.31308667
81	11.28777498
82	11.26070934
83	11.23888055
84	11.19795658
85	11.17418496
86	11.14409197
87	11.1227789
88	11.0966307
89	11.0642184
90	11.03902227
91	11.0116362
92	10.99595192
93	10.98258685
94	10.95804452
95	10.93132
96	10.91720709
97	10.89435752
98	10.85979837
99	10.83635324
100	10.81907813
101	10.80257059
102	10.79386617
103	10.77014121
104	10.76644508
105	10.75404134
106	10.73831112
107	10.73334553
108	10.70878441
109	10.69667606
110	10.691686
111	10.67666198
112	10.66954283
113	10.65737694
114	10.64540584
115	10.63207409
116	10.62751006
117	10.61111494
118	10.59878059
119	10.58028807
120	10.56280723
121	10.5484707
122	10.52339016
123	10.51855426
124	10.50872158
125	10.4878154
126	10.47548386
127	10.47142975
128	10.46304477
129	10.4591106
130	10.45118185
131	10.44026062
132	10.42647771
133	10.41669912
134	10.40048364
135	10.38836429
136	10.37751313
137	10.36382836
138	10.35095301
139	10.34518812
140	10.3283697
141	10.31905768
142	10.30892328
143	10.29343004
144	10.28440692
145	10.26285067
146	10.25706573
147	10.24160915
148	10.22993374
149	10.21916969
150	10.20969399
151	10.20650818
152	10.19877855
153	10.17747055
154	10.16625778
155	10.15674454
156	10.14618341
157	10.13981627
158	10.13678738
159	10.12182781
160	10.11091445
161	10.10664673
162	10.0960106
163	10.09154415
164	10.07782601
165	10.07117573
166	10.05096135
167	10.04277654
168	10.02851595
169	10.01990069
170	10.01386665
171	10.00747876
172	10.00317342
173	9.984635576
174	9.978830458
175	9.974937463
176	9.96230513
177	9.956054036
178	9.952277502
179	9.940149593
180	9.935782803
181	9.928296499
182	9.92454387
183	9.917295005
184	9.913138912
185	9.904205647
186	9.892891904
187	9.88707037
188	9.878070625
189	9.862927019
190	9.861106128
191	9.854283074
192	9.83440378
193	9.812944596
194	9.799226824
195	9.786897301
196	9.776780036
197	9.773937042
198	9.766158063
199	9.762861376
200	9.754715569
201	9.748575327
202	9.741167581
203	9.730810442
204	9.711999227
205	9.707753755
206	9.706254354
207	9.700987666
208	9.695848821
209	9.691019833
210	9.676781546
211	9.664694992
212	9.660144907
213	9.655025316
214	9.652941361
215	9.646036683
216	9.629243085
217	9.619295837
218	9.613033215
219	9.60784458
220	9.602987722
221	9.590800307
222	9.580413355
223	9.570115664
224	9.561680031
225	9.558098256
226	9.551754608
227	9.54363837
228	9.533705
229	9.525637068
230	9.521444422
231	9.518334653
232	9.509534911
233	9.488651806
234	9.482985128
235	9.479951569
236	9.474637391
237	9.470966044
238	9.466080948
239	9.463466422
240	9.459029269
241	9.454274761
242	9.440305937
243	9.431052303
244	9.429400689
245	9.421059097
246	9.418092179
247	9.413797223
248	9.406283613
249	9.403084748
250	9.396971952
251	9.390051911
252	9.385620642
253	9.366465436
254	9.362467892
255	9.359451113
256	9.357552277
257	9.351767146
258	9.341575728
259	9.337476024
260	9.334895785
261	9.331904963
262	9.330020739
263	9.312389967
264	9.305155939
265	9.302284846
266	9.29993642
267	9.297011494
268	9.290096447
269	9.275428234
270	9.27128962
271	9.269743764
272	9.267741221
273	9.245933328
274	9.243599642
275	9.241191628
276	9.236512103
277	9.226332058
278	9.223770176
279	9.211705667
280	9.208942176
281	9.207227892
282	9.195613194
283	9.191161437
284	9.188721922
285	9.183956855
286	9.179965943
287	9.175962678
288	9.167639309
289	9.152827705
290	9.151460873
291	9.149149015
292	9.147590535
293	9.141943902
294	9.138168962
295	9.134743365
296	9.128232737
297	9.109249788
298	9.107002317
299	9.087002694
300	9.0835598
301	9.067153002
302	9.063759067
303	9.047959159
304	9.033486931
305	9.031977114
306	9.01772677
307	9.015624556
308	9.010658038
309	9.009142132
310	9.007141337
311	8.994932017
312	8.983439055
313	8.980954736
314	8.968462137
315	8.967050737
316	8.949923935
317	8.936981966
318	8.919467461
319	8.914580146
320	8.902876358
321	8.888688324
322	8.884807642
323	8.881812282
324	8.878882555
325	8.875489029
326	8.872923
327	8.87009496
328	8.859632225
329	8.857714305
330	8.841551094
331	8.826872167
332	8.824201448
333	8.823164374
334	8.821073009
335	8.818783824
336	8.817141073
337	8.816249635
338	8.813992955
339	8.797075996
340	8.782096519
341	8.781123814
342	8.765220675
343	8.752262152
344	8.746223971
345	8.726863123
346	8.723963273
347	8.719990495
348	8.716491155
349	8.715662915
350	8.700898342
351	8.68293028
352	8.66805293
353	8.657334574
354	8.654153749
355	8.652307314
356	8.649214128
357	8.623738221
358	8.610665287
359	8.608845308
360	8.608047951
361	8.593735917
362	8.580939326
363	8.56666602
364	8.564970793
365	8.549968153
366	8.538636493
367	8.535198622
368	8.525578801
369	8.513778617
370	8.511753293
371	8.502407249
372	8.501413988
373	8.48775313
374	8.482495108
375	8.464772065
376	8.458808853
377	8.445693045
378	8.439848087
379	8.438094031
380	8.428984128
381	8.417664396
382	8.398369783
383	8.395163984
384	8.392629683
385	8.384519266
386	8.381475716
387	8.378388519
388	8.376755418
389	8.370963194
390	8.366535028
391	8.364928062
392	8.356167467
393	8.353342988
394	8.351385562
395	8.337650353
396	8.330475988
397	8.316688667
398	8.30155243
399	8.299914835
400	8.27860103
401	8.277215322
402	8.266760851
403	8.263294224
404	8.254588857
405	8.245972424
406	8.244440537
407	8.230938308
408	8.211600236
409	8.208247583
410	8.192969558
411	8.170824543
412	8.163587247
413	8.159240193
414	8.147377868
415	8.14519897
416	8.143869511
417	8.138903753
418	8.137051726
419	8.132074065
420	8.119054099
421	8.106789512
422	8.09522818
423	8.088533984
424	8.072625406
425	8.054417358
426	8.045977498
427	8.039968987
428	8.031920218
429	8.030339063
430	8.017749977
431	8.004974983
432	7.999602938
433	7.989379301
434	7.981858868
435	7.981014154
436	7.961256724
437	7.953862188
438	7.939733555
439	7.937724345
440	7.93151673
441	7.930310767
442	7.923685261
443	7.906311876
444	7.890892203
445	7.888243389
446	7.885386926
447	7.866988777
448	7.862319661
449	7.848353095
450	7.843342263
451	7.838391202
452	7.832763547
453	7.819679818
454	7.807939444
455	7.794479295
456	7.793070664
457	7.778040465
458	7.767169189
459	7.760964755
460	7.747811178
461	7.74638829
462	7.744935949
463	7.73483543
464	7.720898083
465	7.715460163
466	7.708226511
467	7.702116505
468	7.69059652
469	7.688126963
470	7.675181271
471	7.669949219
472	7.667525613
473	7.661563732
474	7.649171173
475	7.641002341
476	7.631191771
477	7.618382384
478	7.617056734
479	7.601262997
480	7.597168418
481	7.587331063
482	7.577805131
483	7.563239498
484	7.560089982
485	7.557101417
486	7.551961784
487	7.550244143
488	7488	6.728956499
489	6.728238737
490	6.718303007
491	6.703673173
492	6.697068541
493	6.691776531
494	6.688304876
495	6.686282103
496	6.682090397
497	6.6746498	7.458702023
499	7.457113379
500	7.441143361
501	7.436377638
502	7.435804557
503	7.433829296
504	7.428677839
505	7.426017128
506	7.410624267
507	7.408496529
508	7.397697817
509	7.384738734
510	7.378354085
511	7.376172358
512	7.370456103
513	7.368606469
514	7.36086547
515	7.356364434
516	7.343454456
517	7.341510857
518	7.339271658
519	7.337722593
520	7.33697343
521	7.322021276
522	7.317566233
523	7.310355487
524	7.309267272
525	7.301888755
526	7.292494357
527	7.291338552
528	7.289727387
529	7.280531643
530	7.271453353
531	7.269282672
532	7.264483309
533	7.256375354
534	7.250438418
535	7.240752444
536	7.226711588
537	7.217163742
538	7.205850813
539	7.193746269
540	7.18166406
541	7.176627233
542	7.161749539
543	7.160351331
544	7.150227486
545	7.149378737
546	7.145152392
547	7.144178281
548	7.139866396
549	7.129193822
550	7.125117049
551	7.121620727
552	7.112459835
553	7.111980437
554	7.110651488
555	7.102790762
556	7.101854014
557	7.097423528
558	7.093094918
559	7.092298014
560	7.078702125
561	7.060211518
562	7.050344478
563	7.04983552
564	7.048451037
565	7.03613167
566	7.03247315
567	7.02837554
568	7.026801693
569	7.021713393
570	7.016171357
571	7.012655711
572	7.005036417
573	7.003162946
574	7.002101368
575	6.983893796
576	6.982678241
577	6.97974076
578	6.970904694
579	6.964203264
580	6.960062593
581	6.946097765
582	6.941648362
583	6.937371372
584	6.935103478
585	6.926551513
586	6.918538722
587	6.916911335
588	6.916443909
589	6.906855789
590	6.901747991
591	6.901169361
592	6.893330342
593	6.887156003
594	6.884878192
595	6.881918784
596	6.875628157
597	6.864596587
598	6.85092228
599	6.845596843
600	6.842696898
601	6.835593551
602	6.830759821
603	6.829558414
604	6.821439358
605	6.812111227
606	6.810649088
607	6.808256426
608	6.805503981
609	6.801149469
610	6.798412798
611	6.786939346
612	6.785999944
613	6.78118662
614	6.780321384
615	6.765929094
616	6.765239186
617	6.762312087
618	6.761321141
619	6.753528135
620	6.748294405
621	6.73553106
622	6.734376144
623	6.731077173
624	6.724583387
625	6.713788364
626	6.707221213
627	6.705559336
628	6.69603935
629	6.68395061
630	6.673491802
